키워드,점수,연도,월,기사 수,데이터 출처
부의,100,2020,1,1580,서점
투자,91,2020,1,47500,서점
에듀윌,86,2020,1,598,서점
생각,84,2020,1,68300,서점
사람,78,2020,1,93400,서점
기본,76,2020,1,20700,서점
부자,74,2020,1,9340,서점
부동산,73,2020,1,91700,서점
사회,70,2020,1,191000,서점
직업,68,2020,1,26500,서점
에듀윌,100,2020,2,319,서점
부동산,96,2020,2,43300,서점
부의,81,2020,2,716,서점
투자,70,2020,2,25300,서점
기본,70,2020,2,11400,서점
모의고사,69,2020,2,870,서점
경제,65,2020,2,97400,서점
실전,61,2020,2,1720,서점
최신,60,2020,2,54400,서점
평가,56,2020,2,20800,서점
투자,100,2020,3,50500,서점
경제학,75,2020,3,1480,서점
회계,68,2020,3,5710,서점
부동산,61,2020,3,90100,서점
주식,59,2020,3,16800,서점
인생,54,2020,3,26200,서점
경제,52,2020,3,190000,서점
투자,100,2020,4,56400,서점
주식,56,2020,4,18100,서점
모의고사,54,2020,4,1810,서점
투자,100,2020,5,27200,서점
부동산,50,2020,5,50000,서점
투자,100,2020,6,63000,서점
주식,67,2020,6,20100,서점
부자,57,2020,6,10800,서점
주식,100,2020,7,21300,서점
투자,86,2020,7,60700,서점
부자,67,2020,7,10600,서점
주식,100,2020,8,20300,서점
투자,98,2020,8,62300,서점
주식,100,2020,9,10100,서점
투자,88,2020,9,30300,서점
모의고사,69,2020,9,1050,서점
봉투,67,2020,9,7750,서점
하반기,59,2020,9,9670,서점
주식,100,2020,10,21200,서점
모의고사,98,2020,10,2040,서점
투자,96,2020,10,69300,서점
봉투,86,2020,10,15700,서점
하반기,69,2020,10,20000,서점
해커스,65,2020,10,101,서점
직무,64,2020,10,8030,서점
최신,63,2020,10,139000,서점
부의,59,2020,10,1980,서점
비밀,56,2020,10,29500,서점
주식,100,2020,11,25200,서점
투자,68,2020,11,68200,서점
에디,65,2020,11,301,서점
커버,63,2020,11,14900,서점
트렌드,62,2020,11,38500,서점
주식,100,2020,12,24700,서점
투자,83,2020,12,74200,서점
주식,100,2021,1,10900,서점
투자,98,2021,1,31300,서점
투자,100,2021,2,77300,서점
주식,87,2021,2,23000,서점
투자,100,2021,3,82700,서점
주식,96,2021,3,25700,서점
경제학,73,2021,3,1870,서점
회계,63,2021,3,7270,서점
부자,54,2021,3,12800,서점
주식,100,2021,4,13400,서점
투자,84,2021,4,41800,서점
모의고사,59,2021,4,831,서점
봉투,53,2021,4,9380,서점
주식,100,2021,5,28000,서점
투자,88,2021,5,82200,서점
주식,100,2021,6,29500,서점
투자,98,2021,6,89200,서점
공부,52,2021,6,13600,서점
부의,50,2021,6,2200,서점
주식,100,2021,7,25300,서점
투자,97,2021,7,90900,서점
공부,51,2021,7,14700,서점
부의,51,2021,7,2230,서점
투자,100,2021,8,40400,서점
주식,82,2021,8,15400,서점
부자,50,2021,8,6140,서점
투자,100,2021,9,84700,서점
주식,91,2021,9,26800,서점
모의고사,56,2021,9,1570,서점
회계,50,2021,9,7020,서점
투자,100,2021,10,87100,서점
주식,63,2021,10,28100,서점
투자,100,2021,11,98000,서점
주식,79,2021,11,27000,서점
부의,63,2021,11,2450,서점
트렌드,52,2021,11,43800,서점
투자,100,2021,12,47600,서점
트렌드,63,2021,12,21300,서점
부동산,54,2021,12,65400,서점
부의,51,2021,12,1320,서점
투자,100,2022,1,96500,서점
주식,91,2022,1,28500,서점
부동산,56,2022,1,153000,서점
부자,52,2022,1,14100,서점
투자,100,2022,2,105000,서점
주식,77,2022,2,33600,서점
부동산,56,2022,2,160000,서점
부자,54,2022,2,17700,서점
부동산,100,2022,3,78500,서점
투자,86,2022,3,55900,서점
회계,77,2022,3,5100,서점
경제학,66,2022,3,1290,서점
주식,62,2022,3,15700,서점
부자,60,2022,3,8470,서점
투자자,56,2022,3,9410,서점
모의고사,52,2022,3,818,서점
원리,52,2022,3,2880,서점
투자,100,2022,4,113000,서점
부동산,91,2022,4,163000,서점
주식,74,2022,4,35400,서점
모의고사,55,2022,4,1730,서점
부자,55,2022,4,17400,서점
투자,100,2022,5,112000,서점
부동산,89,2022,5,167000,서점
부자,54,2022,5,23200,서점
부동산,100,2022,6,160000,서점
투자,78,2022,6,132000,서점
에디,71,2022,6,379,서점
부자,69,2022,6,22400,서점
부의,56,2022,6,3640,서점
생각,55,2022,6,175000,서점
커버,54,2022,6,27300,서점
부동산,100,2022,7,80600,서점
투자,76,2022,7,61300,서점
커버,67,2022,7,14000,서점
장사,63,2022,7,5780,서점
에디,61,2022,7,222,서점
경매,54,2022,7,3790,서점
사람,51,2022,7,112000,서점
부자,50,2022,7,12300,서점
투자,100,2022,8,126000,서점
부동산,80,2022,8,154000,서점
부자,66,2022,8,22800,서점
에디,56,2022,8,427,서점
커버,56,2022,8,24900,서점
장사,52,2022,8,12200,서점
투자,100,2022,9,140000,서점
부동산,84,2022,9,169000,서점
에디,62,2022,9,458,서점
커버,62,2022,9,26200,서점
부자,60,2022,9,22200,서점
장사,56,2022,9,13600,서점
경매,56,2022,9,9290,서점
모의고사,54,2022,9,2820,서점
실전,51,2022,9,7380,서점
투자,100,2022,10,162000,서점
모의고사,95,2022,10,3450,서점
부자,88,2022,10,24600,서점
부동산,84,2022,10,182000,서점
부의,77,2022,10,4710,서점
경매,74,2022,10,10500,서점
에디,73,2022,10,395,서점
봉투,71,2022,10,29000,서점
생각,70,2022,10,205000,서점
실전,66,2022,10,6600,서점
부동산,100,2022,11,81900,서점
투자,76,2022,11,63000,서점
부자,71,2022,11,11700,서점
트렌드,67,2022,11,30900,서점
생각,65,2022,11,104000,서점
에디,57,2022,11,225,서점
경매,55,2022,11,4690,서점
투자,100,2022,12,167000,서점
부자,89,2022,12,26700,서점
부동산,82,2022,12,194000,서점
커버,77,2022,12,29600,서점
생각,66,2022,12,212000,서점
장사,66,2022,12,15400,서점
에디,63,2022,12,409,서점
경제,61,2022,12,5690000,서점
트렌드,60,2022,12,59700,서점
시크릿,55,2022,12,3100,서점
